Data,Descrição,Categoria,Forma,Valor,Status
"dezembro de 2027","Reembolsos a Pagar — Pessoal
1 itens · 1 em aberto","Diversos","—","− R$ 51,00","Em aberto"
"novembro de 2027","Reembolsos a Pagar — Pessoal
1 itens · 1 em aberto","Diversos","—","− R$ 51,00","Em aberto"
"outubro de 2027","Reembolsos a Pagar — Pessoal
2 itens · 2 em aberto","Diversos","—","− R$ 172,06","Em aberto"
"setembro de 2027","Reembolsos a Pagar — Pessoal
2 itens · 2 em aberto","Diversos","—","− R$ 172,06","Em aberto"
"agosto de 2027","Reembolsos a Pagar — Pessoal
3 itens · 3 em aberto","Diversos","—","− R$ 309,48","Em aberto"
"julho de 2027","Reembolsos a Pagar — Pessoal
3 itens · 3 em aberto","Diversos","—","− R$ 309,48","Em aberto"
"junho de 2027","Reembolsos a Pagar — Pessoal
4 itens · 4 em aberto","Diversos","—","− R$ 410,62","Em aberto"
"maio de 2027","Reembolsos a Pagar — Pessoal
5 itens · 5 em aberto","Diversos","—","− R$ 459,75","Em aberto"
"abril de 2027","Reembolsos a Pagar — Pessoal
6 itens · 6 em aberto","Diversos","—","− R$ 484,75","Em aberto"
"março de 2027","Reembolsos a Pagar — Pessoal
7 itens · 7 em aberto","Diversos","—","− R$ 513,75","Em aberto"
"fevereiro de 2027","Reembolsos a Pagar — Pessoal
10 itens · 10 em aberto","Diversos","—","− R$ 621,97","Em aberto"
"janeiro de 2027","Reembolsos a Pagar — Pessoal
13 itens · 13 em aberto","Diversos","—","− R$ 981,44","Em aberto"
"dezembro de 2026","Reembolsos a Pagar — Pessoal
26 itens · 26 em aberto","Diversos","—","− R$ 1.892,17","Em aberto"
"novembro de 2026","Reembolsos a Pagar — Pessoal
27 itens · 27 em aberto","Diversos","—","− R$ 1.992,16","Em aberto"
"outubro de 2026","Reembolsos a Pagar — Pessoal
28 itens · 28 em aberto","Diversos","—","− R$ 2.225,49","Em aberto"
"setembro de 2026","Reembolsos a Pagar — Pessoal
31 itens · 31 em aberto","Diversos","—","− R$ 2.350,38","Em aberto"
"16/04/2027","NotreDame — Convênio Médico Titular (12/12)
Parcela 12/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/04/2027","NotreDame — Convênio Médico Dependente (12/12)
Parcela 12/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"16/03/2027","NotreDame — Convênio Médico Titular (11/12)
Parcela 11/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/03/2027","NotreDame — Convênio Médico Dependente (11/12)
Parcela 11/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"04/03/2027","Estagiaria (12/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
"16/02/2027","NotreDame — Convênio Médico Titular (10/12)
Parcela 10/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/02/2027","NotreDame — Convênio Médico Dependente (10/12)
Parcela 10/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"04/02/2027","Estagiaria (11/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
"16/01/2027","NotreDame — Convênio Médico Titular (9/12)
Parcela 9/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/01/2027","NotreDame — Convênio Médico Dependente (9/12)
Parcela 9/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"04/01/2027","Estagiaria (10/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
"30/12/2026","Reserva 13º (12/2026)","Reserva 13º","PIX","− R$ 1.500,00","Em aberto"
"16/12/2026","NotreDame — Convênio Médico Titular (8/12)
Parcela 8/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/12/2026","NotreDame — Convênio Médico Dependente (8/12)
Parcela 8/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"04/12/2026","Estagiaria (9/12)","4.1 - Salário","PIX","− R$ 1.275,00","Em aberto"
"29/11/2026","Reserva 13º (11/2026)","Reserva 13º","PIX","− R$ 1.500,00","Em aberto"
"26/11/2026","Tecnologias (11/2026)","3.4 - Tecnologias","PIX","− R$ 80,08","Em aberto"
"20/11/2026","INSS (11/2026)","4.4 - INSS","PIX","− R$ 482,58","Em aberto"
"20/11/2026","Reserva para Materiais de Limpeza (11/2026)","9 - Materiais de Limpeza","PIX","− R$ 60,00","Em aberto"
"20/11/2026","Mlabs (11/2026)","3.4 - Tecnologias","CC INTER PJ · Venc. 25","− R$ 39,45","Em aberto"
"20/11/2026","Mensalidade GCLICK (11/2026)","3.4 - Tecnologias","PIX","− R$ 150,00","Em aberto"
"20/11/2026","Mensalidade RedFox (11/2026)","3.3 - Telefone e Internet","PIX","− R$ 129,90","Em aberto"
"20/11/2026","FGTS do mes (11/2026)","4.5 - FGTS","PIX","− R$ 133,58","Em aberto"
"16/11/2026","NotreDame — Convênio Médico Titular (7/12)
Parcela 7/12","3.6 - Convênio Médico","Boleto","− R$ 292,29","Em aberto"
"16/11/2026","NotreDame — Convênio Médico Dependente (7/12)
Parcela 7/12","3.6 - Convênio Médico","Boleto","− R$ 347,15","Em aberto"
"15/11/2026","Aluguel (11/2026)","3.1 - Aluguel","PIX","− R$ 1.060,00","Em aberto"
"15/11/2026","Mensalidade SIEG (11/2026)","3.4 - Tecnologias","PIX","− R$ 708,00","Em aberto"
"15/11/2026","Seguro Comercial (11/2026)","3.2 - Seguros","PIX","− R$ 231,84","Em aberto"
"15/11/2026","Marketing (11/2026)","2.1 - Marketing","PIX","− R$ 300,00","Em aberto"
"10/11/2026","Mensalidade TIM PJ (11/2026)","3.3 - Telefone e Internet","PIX","− R$ 35,00","Em aberto"
"10/11/2026","Domínio Sistema (11/2026)","3.5 - Domínio Sistema","PIX","− R$ 1.041,22","Em aberto"
